track_id,track_title,artist_name,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
171,Asiya Addam'ee,Abdel Karim Alkabli,4,2000,0.497,0.376,7,-10.092,1,0.7,0.047,0.0724,0.457,116.398,1223333,4
172,Asmar,Abd al Hafiz Karar,1,1999,0.612,0.128,0,-29.394,1,0.87,0.428,0.0842,0.898,167.119,334573,4
173,Asmar gameel,Mohamed Aljazar,10,2013,0.667,0.803,5,-4.032,0,0.41,0,0.304,0.974,149.909,233735,4
174,Asmari,Gamal Musbah,19,2019,0.683,0.632,3,-6.791,1,0.81,0,0.0967,0.848,75.075,228859,4
175,Asyad allwari,Roaa Naeem,29,2020,0.724,0.467,2,-15.123,0,0.57,0,0.0989,0.978,144.004,198113,4
176,Awsaf habeebak,Talal Alsatta,12,2021,0.726,0.47,11,-9.606,1,0.52,0,0.16,0.695,101.999,398054,3
177,Ayam safana,Mahmoud Abdelaziz,6,1996,0.381,0.603,8,-5.112,1,0.88,0.0087,0.141,0.613,201.456,460631,4
178,Ayam wafana,Abdel Karim Alkabli,7,2006,0.469,0.724,7,-5.843,1,0.19,0.0094,0.0674,0.806,101.417,408267,1
179,Ayamna,Abdalla Kunna,3,2020,0.344,0.389,11,-19.323,0,0.71,0.0025,0.377,0.708,160.402,360307,4
180,Azara alhai,Rasha,33,1997,0.719,0.427,0,-10.358,0,0.7,0.0009,0.137,0.754,77.991,387903,4
181,Azara alhay,Abdul Aziz Mohammed Daoud,1,2018,0.569,0.595,5,-10.799,1,0.8,0.0031,0.109,0.881,92.766,537240,4
182,Azkurini ya hamama,Gamal Farfour,11,2015,0.625,0.519,5,-7.966,0,0.93,0.0001,0.333,0.669,112.169,418727,3
183,Azza,Moddathir Meshmesh,0,2014,0.463,0.816,10,-2.824,1,0.4,0,0.41,0.879,110.283,462200,4
184,Azzinik erifti,Mostafa Sid Ahmed,14,1992,0.423,0.34,7,-14.395,1,0.29,0.0002,0.105,0.836,203.764,463700,3
185,Baad algheyab,Mahmoud Abdelaziz,8,2007,0.513,0.363,10,-14.478,0,0.77,0.0088,0.133,0.655,85.483,702647,4
186,Babadelom berraid bebadluni be azeya,Hiba Jabra,7,2020,0.429,0.865,0,-6.862,0,0.19,0,0.204,0.799,112.036,582661,4
187,Badr albudur,Ahmed Amin,18,2019,0.696,0.461,5,-13.14,1,0.27,0,0.125,0.726,173.037,187399,4
188,Badr assama,Malaz Ghazi,3,2020,0.374,0.269,11,-22.101,1,0.77,0,0.37,0.777,141.791,323239,3
189,Badur Musa,Hiba Jabra,6,2020,0.53,0.865,6,-6.772,1,0.3,0.0549,0.0902,0.914,159.917,261068,4
190,Bafrah beha,Mahmoud Abdelaziz,11,2002,0.518,0.719,5,-1.076,1,0.49,0.0001,0.227,0.612,161.388,527650,4
191,Bahisik,Mahmoud Abdelaziz,17,2016,0.446,0.666,10,-6.241,1,0.87,0.0038,0.852,0.848,173.947,325474,4
192,Bahjat omri,Huda Arabi,12,2020,0.652,0.24,2,-20.81,1,0.73,0,0.426,0.967,118.886,203781,4
193,Bahsim alfawda,Talal Alsatta,12,2017,0.807,0.868,6,-6.641,0,0.74,0,0.131,0.95,142.442,342152,3
194,Bain alyaqiza wa alahlam,Alblabel,1,2000,0.361,0.6,0,-3.388,1,0.8,0.0003,0.26,0.47,151.456,439223,4
195,Baitna nawwar,Waleed Juba,7,2020,0.356,0.291,7,-22.433,1,0.69,0.0001,0.353,0.882,110.389,395912,3
196,Baket albakani,Asha Algabal,22,2020,0.731,0.769,0,-5.293,1,0.41,0,0.218,0.866,79.925,140957,4
197,Balad Alsamahat,Kabli,1,2009,0.725,0.511,2,-9.675,1,0.35,0,0.0392,0.825,118.018,503627,4
198,Baladi,Mohamed Alnasri,4,2018,0.552,0.666,9,-4.561,1,0.82,0.0418,0.0972,0.961,70.261,785231,4
199,Banat alhoor,Mahmoud Abdelaziz,5,2013,0.552,0.915,10,-0.032,1,0.14,0.199,0.395,0.927,157.845,356614,4
200,Bareedak ya habibi,Gamal Farfour,12,2015,0.47,0.75,5,-12.211,0,0.19,0.925,0.174,0.906,101.942,381806,4
201,Bareedk,Mahmoud Abdelaziz,4,2000,0.614,0.751,7,-3.348,1,0.83,0.0001,0.18,0.761,136.189,347938,3
202,Barrag al oyoon,Abdel Karim Alkabli,5,2010,0.553,0.557,4,-9.886,0,0.42,0,0.0618,0.83,122.028,564200,3
203,Bartah laik,Mahmoud Abdelaziz,7,2001,0.484,0.472,2,-13.005,1,0.84,0.0036,0.139,0.79,153.881,643607,4
