,ZCR_mean,Loudness,Beat_loudness,ZCR_std,spectral_centroid,Pitch_centroid,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12
Gorbak befarihni,0.055394600788506,-17.053162,0.15617472,0.022395986137624,1218.3754287003,491.2762,-163.293655395508,165.651824951172,-38.1297378540039,58.2766838073731,-5.84758996963501,-4.06850004196167,21.0315742492676,-21.570499420166,9.06542015075684,-8.48529434204102,-14.810694694519,10.2043361663818,-14.2056493759155,36.3043670654297,13.9615077972412,15.2912197113037,13.1604681015015,14.427770614624,10.1586418151855,8.47789001464844,9.88796901702881,8.56385898590088,7.4988260269165,9.37620639801025,8.68262195587158,7.86559438705444
Tawwal mufarig hayyu,0.104961572416796,-23.041897,0.076746196,0.030542743907964,2085.06154156048,1082.9224,-156.633010864258,94.3924789428711,-17.1451683044434,24.453987121582,2.79799246788025,15.8047103881836,1.86754667758942,13.003963470459,-2.13474321365356,5.44390439987183,-0.516953408718109,8.05036067962647,-5.03924322128296,37.450065612793,18.1525535583496,15.1259021759033,13.5589447021484,11.3674602508545,9.02536869049072,9.00592231750488,7.61272764205933,7.48904228210449,9.91340065002441,8.29494953155518,7.82564735412598,8.15779781341553
Tannesh taaiesh tantaesh,0.098485421101006,-13.705284,0.2141838,0.029098485518231,2551.24662479546,854.46344,-37.2413291931152,79.2839279174805,2.17230725288391,30.1384143829346,11.2121210098267,-2.55671763420105,-0.45028629899025,3.28031086921692,-8.76484203338623,7.5450005531311,-9.76272869110107,1.88767719268799,-5.12025928497314,34.9036674499512,16.7359962463379,17.6487445831299,17.0928764343262,11.8220748901367,12.2358522415161,11.1162605285645,10.5193996429443,9.58733367919922,12.1767053604126,7.74031543731689,7.65982961654663,7.83704519271851
Bringi,0.086254580471169,-16.094715,0.241312,0.075021597084098,2030.22936181629,754.71936,-115.895851135254,99.1503295898437,-0.609357059001923,28.2241802215576,3.10841464996338,-3.73643922805786,0.677252650260925,3.73560285568237,-10.7248477935791,5.1792688369751,-7.39316320419312,2.27016162872314,0.145162418484688,63.6440010070801,36.8215751647949,23.4480953216553,18.1628646850586,16.9060096740723,16.8261985778809,14.9067401885986,14.0867729187012,14.5721740722656,10.7656126022339,12.7621364593506,9.20689392089844,10.1508264541626
Ente alzola,0.099456314701045,-20.03625,0.10798908,0.042429731216653,2142.90082724276,1044.5712,-119.171485900879,92.7011184692383,-12.2137956619263,37.4355926513672,5.85479402542114,12.6788692474365,1.71879422664642,5.75829696655273,-2.05068588256836,3.66403484344482,-2.13326907157898,5.79663324356079,-2.57280683517456,53.1498870849609,23.2165412902832,18.123649597168,10.4405832290649,10.6453342437744,8.18323993682861,8.33550834655762,7.94220495223999,7.74312925338745,6.40122842788696,6.73286056518555,6.81295442581177,7.17345428466797
Kandaka,0.093122641737616,-19.996696,0.14723054,0.065020911404829,2299.07236565157,841.75543,-145.990249633789,86.1899490356445,-3.57853436470032,9.45810127258301,-15.7601194381714,-7.72901439666748,-7.36629247665405,-9.7669038772583,-10.6790218353272,-6.94928503036499,-12.320837020874,-5.63539934158325,-2.76212549209595,97.3127288818359,46.7416000366211,27.0534420013428,18.7994022369385,19.083438873291,18.919261932373,15.9627933502197,17.6281070709229,12.3446235656738,12.0733766555786,15.0389471054077,12.6851367950439,13.633373260498
Fortaigt om labos,0.184476208760642,-27.645296,0.04683805,0.080048819964801,3494.29364622898,1398.2808,-191.914840698242,31.6002349853516,2.84078931808472,49.6555519104004,10.6930599212647,9.40215492248535,-10.107421875,0.920224010944366,-3.93050837516785,-0.38393759727478,-9.38122272491455,-2.67999076843262,-3.71309542655945,60.6222724914551,26.3134288787842,19.2209243774414,14.5227632522583,11.126654624939,12.7313108444214,7.91311979293823,9.17798900604248,9.70666694641113,10.3168601989746,8.38303375244141,7.80889797210693,7.52504682540894
Ana bashbahak,0.066417209873259,-11.768585,0.2681267,0.056772778311591,1976.74250857065,513.90356,-76.7329330444336,108.872337341309,28.1498947143555,17.1100921630859,17.1611804962158,-0.347612500190735,-8.08657836914063,4.28189039230347,-7.50017309188843,5.83195924758911,-11.8781137466431,1.22628486156464,-6.32720804214478,48.1995544433594,32.3433494567871,17.7385520935059,17.1817378997803,15.0078449249268,11.2449474334717,10.1058130264282,10.2903432846069,9.53127479553223,9.59653759002686,9.61517429351807,9.13000965118408,8.39147281646729
Agabony,0.210529339202786,-15.298071,0.18213488,0.071301617378377,3302.27837812862,1573.144,-28.3140048980713,48.0235328674316,-4.66655158996582,31.2275657653809,-4.87344884872437,5.78656530380249,-2.20317029953003,7.43790817260742,-5.31767702102661,9.94532299041748,0.104619830846787,2.05139303207397,1.70383059978485,33.7821731567383,19.8267097473145,20.4368000030518,17.3535785675049,14.9955930709839,12.0272340774536,13.1782331466675,10.5332193374634,11.1593818664551,10.9733934402466,9.3842191696167,8.21850395202637,9.18036270141602
Musaitera,0.135426240808824,-15.9887905,0.17178707,0.056292381662438,3159.33502846406,830.39935,-46.142635345459,63.6606292724609,15.2550706863403,15.3971385955811,5.06115388870239,7.95606660842896,4.36177015304565,4.68685960769653,2.85192584991455,7.15900897979736,-1.49956440925598,2.83155059814453,-1.53988444805145,35.2019081115723,15.6431798934937,13.751781463623,10.010947227478,8.65963268280029,8.32562160491943,8.12490177154541,8.23983383178711,7.50549745559692,6.41515398025513,6.93098163604736,6.78778553009033,7.03866195678711
Ya galbi maktool belhail,0.08831692627709,-21.467268,0.102350056,0.035590149042936,2251.44971170801,829.3618,-155.775619506836,79.9790573120117,-14.4667692184448,22.2817878723145,7.27241706848145,16.9445152282715,-4.44000864028931,0.241736680269241,-10.7024602890015,-1.78358590602875,-7.36831426620483,-8.83362483978272,-7.72333192825317,68.0394744873047,23.5209083557129,17.4671611785889,18.3866500854492,15.7982711791992,12.0819339752197,14.5332813262939,9.16856575012207,9.49984455108643,9.18651676177979,7.81633901596069,9.17469501495361,9.26602363586426
Habibi gannani,0.051946397905379,-29.720123,0.03568213,0.022314185162503,1048.20671243658,550.3616,-322.333801269531,185.928283691406,-50.9115943908691,57.5387496948242,12.546877861023,-15.8275909423828,19.5016841888428,-20.4167957305908,-3.59172654151916,-1.85503995418549,-15.1411209106445,4.6579270362854,-10.5577535629272,30.2579574584961,15.6228847503662,17.4198951721191,12.933217048645,11.5039119720459,10.7906980514526,7.51027584075928,8.62848663330078,8.51597118377686,7.38813734054565,7.84062433242798,6.53542327880859,6.08977127075195
Hal tadri ya naasan,0.063645495718847,-13.804251,0.22019364,0.031701078291034,1472.63239263938,665.09955,-108.642608642578,131.610916137695,-25.1112594604492,16.0634212493896,2.98079252243042,-8.30315494537354,-18.6106834411621,-11.4773988723755,-22.3714504241943,-8.07139015197754,-4.84098434448242,-10.5476274490356,-15.8606586456299,56.3629493713379,30.1036510467529,19.0070018768311,15.9498338699341,14.5576820373535,9.53764915466309,9.48041439056397,9.96760082244873,11.2179336547852,8.13021945953369,10.1774816513062,7.12797737121582,7.54159832000732
Ma tabky ya oyouni,0.026331284466912,-14.571214,0.19531998,0.012151561752068,858.08287005759,334.20728,-180.007263183594,158.540176391602,5.73621082305908,62.2675590515137,-8.10662364959717,16.9302444458008,3.70360732078552,9.36691188812256,-7.99044466018677,2.29565048217773,-6.08009767532349,-1.29168045520782,-2.01546287536621,31.1399955749512,11.8804864883423,10.39963722229,9.12158012390137,11.0272617340088,6.74562740325928,7.01555824279785,6.88315439224243,7.02618980407715,7.36734485626221,5.99388790130615,6.33491563796997,6.50686359405518
Momkin,0.155482808871904,-14.4316,0.22306767,0.073022770276853,2711.36113207209,1347.4706,-43.3153800964355,72.8401489257813,-16.6231231689453,32.9240341186523,-2.2205023765564,1.59209501743317,5.46724271774292,2.28866910934448,-7.12386417388916,8.22690582275391,-6.57681131362915,4.07723999023438,-7.0153694152832,55.3888740539551,29.3029766082764,23.3526916503906,18.6418647766113,15.3590383529663,12.4730110168457,10.8258256912231,8.15649127960205,7.75574016571045,9.48121738433838,8.3474292755127,7.38488674163818,7.73973321914673
Sharbat alfarah,0.089623418754838,-15.555754,0.17975128,0.026599283504658,2068.17436138359,825.8836,-64.7644653320313,99.9160308837891,-6.00932455062866,29.7992267608643,5.14406585693359,4.13147878646851,4.95240449905396,2.70859122276306,-9.5427360534668,-0.525880515575409,-5.92718553543091,-1.75820136070251,-2.36111879348755,43.383716583252,18.3026485443115,15.0857133865356,13.6943092346191,9.57439422607422,11.3593511581421,8.52214241027832,7.88028478622437,8.38506889343262,8.62638282775879,8.1795768737793,7.39291286468506,7.36636114120483
Geenaki,0.055103975183824,-30.033506,0.034667637,0.027140364366665,1492.14610385102,566.3658,-294.136169433594,121.517417907715,-25.134786605835,37.8399047851562,-1.61275291442871,11.4571771621704,-0.691783428192139,-1.13884282112122,-13.106575012207,-8.49469566345215,-8.76562213897705,-9.85656642913818,-11.3301706314087,42.7918090820313,17.1118278503418,16.885570526123,13.7362098693848,11.1273651123047,7.43497323989868,8.02822208404541,9.08801078796387,7.55331420898438,6.99714422225952,9.30449104309082,6.42619609832764,6.65216207504272
Madaneya horria wa salam,0.079453034297601,-35.507294,0.021217406,0.028018548176913,1628.20610697777,810.2678,-344.659454345703,128.492584228516,-17.6155796051025,27.3246898651123,-0.322167366743088,-20.7082195281982,2.69448566436768,-3.33500790596008,-3.52986764907837,-9.81083297729492,-7.69399261474609,-0.471194624900818,-10.2941150665283,75.1815032958984,27.6959972381592,18.451114654541,18.0317459106445,13.6664581298828,11.7590475082397,15.1115388870239,8.02974224090576,7.19064283370972,10.5506610870361,9.69019508361816,12.3876752853394,8.55355167388916
Allela dob,0.148076957962461,-13.82915,0.22586931,0.057113864041496,2887.75093299439,1098.7799,-13.1268272399902,69.6750946044922,-1.86059927940369,19.1231555938721,-15.8819417953491,7.37683534622192,-3.5068154335022,-1.51893699169159,-6.17677402496338,4.62983131408691,-7.05857181549072,6.43156957626343,-4.52487134933472,38.8281936645508,19.8108978271484,16.7893295288086,11.9498996734619,11.1759300231934,8.36392879486084,9.53239059448242,8.62287521362305,8.29595184326172,8.67558860778809,7.76126909255981,7.31039905548096,7.1220006942749
Ezz eljamor,0.111404088259481,-18.22326,0.12897675,0.033205480649703,2016.30816100377,1131.4305,-101.740509033203,103.689735412598,-35.8196067810059,47.5528259277344,-14.6218166351318,16.056282043457,-6.92761659622192,1.88565945625305,-6.86587619781494,1.42131853103638,-7.62047863006592,5.47830152511597,-5.22874784469605,37.5550498962402,16.1903972625732,11.5382871627808,11.1497116088867,10.0292406082153,8.92881584167481,8.24396133422852,9.77132415771484,7.50919771194458,8.37268161773682,6.93499183654785,7.39606475830078,7.64441680908203
Habsha,0.077043373887384,-14.713105,0.22695662,0.069332134419035,2329.58639584321,612.25757,-95.3419952392578,91.9576187133789,9.07384490966797,21.169319152832,9.55327129364014,0.306719601154327,-1.36370551586151,9.63865947723389,-13.8779449462891,-0.276766180992126,-2.08143711090088,1.79458606243134,-2.07939219474792,69.0280075073242,38.1330223083496,31.6197147369385,24.7273826599121,18.7942237854004,17.5622234344482,15.5852518081665,13.805269241333,13.727180480957,12.487398147583,13.213978767395,10.3875923156738,12.1266536712646
Al asal al naghat,0.07524066369969,-13.724946,0.23765594,0.043254796367987,1908.23560938234,628.10284,-70.3608856201172,112.196762084961,9.32335376739502,24.4483451843262,1.68774020671844,2.1268208026886,-5.20647239685059,-0.326708436012268,-9.35856246948242,7.4152455329895,-9.79113483428955,-3.551509141922,0.016629906371236,64.4048080444336,28.3111934661865,23.2982521057129,16.5498523712158,13.6577634811401,10.9004259109497,11.9409399032593,11.1588850021362,11.34361743927,10.9822549819946,9.29342555999756,7.56998157501221,8.0829610824585
Nujum allail,0.059791021671827,-18.304699,0.13063255,0.019049160046575,1482.49319721775,589.71344,-145.078857421875,124.774940490723,-13.0330333709717,32.5269012451172,-2.77425074577332,8.50889110565186,-6.99520397186279,1.66153395175934,-14.8119335174561,-10.7594871520996,-19.3037872314453,-13.2954044342041,-8.43550395965576,33.2055320739746,16.8959770202637,12.0439701080322,13.4473543167114,9.09581661224365,7.64728307723999,7.69368457794189,7.13559293746948,7.57405853271484,6.72092628479004,6.82908201217651,6.61766004562378,6.20283269882202
Asmar gameel ,0.115444502225232,-24.368532,0.06620827,0.044847083349468,2406.02505617101,881.7951,-154.4248046875,81.4930572509766,-4.33943223953247,32.2608947753906,-5.97290325164795,13.970591545105,-5.26915264129639,-5.30136489868164,-6.54639053344727,-2.21605467796326,-14.5469627380371,-0.831730127334595,-9.68332767486572,43.4110984802246,18.3380565643311,14.1932640075684,9.85764122009277,11.7466697692871,10.5904579162598,8.13100242614746,9.08851623535156,7.18337965011597,7.6392765045166,8.32035636901856,7.34128379821777,8.94087219238281
Bahjat omri,0.185851861817918,-15.909342,0.16646919,0.046621693133772,3389.98507144689,1179.8118,-25.99391746521,53.0103034973145,7.18456411361694,35.3199691772461,-7.12343835830689,13.8270406723022,-3.3599910736084,6.36201143264771,-4.47939109802246,5.54145812988281,-10.856635093689,2.34836912155151,-6.03535032272339,32.9392280578613,14.3629627227783,10.174693107605,12.6054449081421,8.56606674194336,8.74470233917236,8.85254287719727,6.37631893157959,8.45216178894043,7.92185783386231,7.54659080505371,6.64707469940186,7.17507266998291
Tayer algenai,0.082073199859714,-24.246979,0.091226675,0.029358813005624,1978.81726458348,816.94995,-176.885025024414,100.656402587891,-24.3695182800293,8.59084796905518,-12.2918453216553,1.14005017280579,-12.5864896774292,-1.62891376018524,-6.7492561340332,-0.046128407120705,-4.6977105140686,-6.55746746063232,-2.07808256149292,87.4204177856445,22.641227722168,21.0396099090576,17.2060680389404,15.3598508834839,12.092734336853,12.4546279907227,9.29477977752686,11.0382232666016,10.0567474365234,9.29997253417969,8.80323123931885,7.69757127761841
Afu alkhater,0.110835634428879,-27.498825,0.06398426,0.041611298369335,2208.2001634051,957.8449,-198.416168212891,95.7458267211914,-10.9705610275269,22.3882503509521,-15.0392217636108,2.89885687828064,-2.60770225524902,4.29798221588135,-2.51545286178589,9.31515693664551,-15.4022550582886,1.42013466358185,-4.24404954910278,93.8085098266602,23.3265628814697,17.1226768493652,18.6495304107666,11.7190093994141,11.1132249832153,10.3917970657349,9.61337852478027,9.44661045074463,10.6072149276733,9.05999946594238,8.71518135070801,8.39636039733887
Sahbi arees,0.109271826020704,-17.390156,0.16264804,0.065932929189972,2641.5048636645,846.62006,-80.5508880615234,76.6527328491211,3.55581593513489,15.6443786621094,2.59889435768127,10.9759759902954,0.008848869241774,8.44106960296631,-2.83217906951904,7.76692962646484,3.4081883430481,7.4648060798645,2.72849702835083,47.6505126953125,26.6135234832764,18.45263671875,13.6806240081787,16.1306838989258,11.3916854858398,10.0120677947998,10.5722236633301,9.78901863098145,9.80830669403076,10.1868839263916,8.85254573822022,8.17941570281982
Sallim ya Salam,0.09683690499226,-13.135184,0.24435912,0.069692867510337,2200.92320533854,854.46295,-64.1896743774414,91.0257339477539,5.33010292053223,31.7867221832275,14.3574495315552,14.4463691711426,9.2638111114502,4.64652299880981,2.68150568008423,8.21201038360596,-7.41247510910034,2.2421281337738,-2.92938137054443,67.7723770141602,25.6712741851807,24.4420509338379,18.8658561706543,9.87774658203125,11.7445116043091,13.6812086105347,11.3880805969238,9.7193775177002,10.6295394897461,8.48665046691895,9.2520227432251,10.2010288238525
Taayen lai,0.082719454455302,-21.654741,0.09131764,0.035657907356545,1774.01162308948,851.80255,-158.87434387207,110.579177856445,-0.656379640102387,28.3798828125,12.4542436599731,8.83107471466064,2.50600147247314,5.54400777816772,-5.63858652114868,4.39785003662109,-5.64264392852783,4.56940937042236,-3.95900249481201,53.8099403381348,19.4031276702881,16.9077758789063,16.3828411102295,11.9895057678223,12.6437997817993,12.6558647155762,9.47063541412354,9.84479808807373,11.2344903945923,8.47316074371338,8.40791416168213,7.50277614593506
Sahwat alzikra,0.069297388980263,-16.43136,0.16345707,0.035040234411629,1837.96598839959,569.0724,-132.657821655273,101.996482849121,3.73956394195557,54.9645576477051,-5.41080760955811,18.0311069488525,-11.6644115447998,1.92758965492249,-17.0091648101807,-1.1563857793808,-12.2942705154419,-1.66934633255005,-8.7846040725708,61.9266319274902,26.5439758300781,25.0945129394531,21.1747303009033,18.3276596069336,12.7072095870972,12.494252204895,11.0781297683716,9.95857906341553,10.2841510772705,10.5428228378296,13.4284906387329,8.76918983459473
Almaryood,0.043716666868228,-32.635063,0.037447736,0.045283275417,1256.20007692415,437.7286,-367.077697753906,115.656951904297,21.3557376861572,16.0054054260254,-1.71360564231873,-0.755804359912872,-9.23829174041748,-8.01167488098145,-11.2200412750244,-2.31644296646118,-2.98261308670044,-8.68423461914063,-7.55797719955444,69.4524612426758,29.8807735443115,21.1529731750488,15.9490365982056,20.5280933380127,10.6040306091309,11.3674459457397,11.2585897445679,11.1928548812866,9.74121284484863,9.49809455871582,8.42042541503906,7.96478796005249
Alhaz darab,0.111290710260255,-24.009342,0.06428474,0.056203714029515,2716.99335094309,700.3813,-144.543869018555,83.1019744873047,16.1070613861084,18.8334522247314,-4.71925115585327,-0.88264262676239,-10.4340667724609,-2.13176131248474,-8.19905853271484,-1.60604548454285,-4.23653984069824,3.15933990478516,-6.94245100021362,44.4640693664551,26.0869979858398,16.5154075622559,12.7058000564575,9.1455774307251,9.55708503723145,7.43178558349609,7.78292226791382,7.60188961029053,7.56283378601074,8.68836498260498,7.36395502090454,7.21532583236694
Min almasallat,0.09827302631579,-14.548701,0.21582343,0.048785908453127,1811.35321112581,964.97174,-96.2098922729492,121.208854675293,-26.8557929992676,16.1374111175537,-10.0685844421387,-24.6282234191895,4.15517616271973,-6.10597610473633,-8.20370292663574,8.73526191711426,-14.5447463989258,-2.0077977180481,-4.29913520812988,44.8125114440918,32.8650703430176,18.0420150756836,18.1847438812256,11.0446119308472,10.5857067108154,9.96980857849121,10.6334571838379,10.1315612792969,9.92886734008789,9.8059720993042,8.18669986724854,9.74761486053467
Law mohtam kan erefta,0.068730498984133,-26.412222,0.09510894,0.051157563604727,1590.14014191976,653.49854,-231.851593017578,107.103530883789,2.12020707130432,38.2905769348145,4.1173734664917,12.4196109771729,-6.76116752624512,1.37887907028198,-2.43390488624573,0.425735145807266,-4.94496202468872,-1.91255724430084,-4.4974365234375,138.59440612793,44.1431198120117,25.4803218841553,18.397274017334,12.5880308151245,12.3657741546631,9.64645099639893,9.27725505828857,9.66308403015137,10.9940404891968,9.66879749298096,9.54513168334961,9.62386894226074
